split,fault_type,rpm,freq_dir,fault_dir,file_path
train_data,BS,1800,12kHz_FE_data,B,data/src\12kHz_FE_data\B\0021\B021_0.mat
train_data,BS,1800,12kHz_FE_data,B,data/src\12kHz_FE_data\B\0021\B021_2.mat
train_data,BS,1730,12kHz_DE_data,B,data/src\12kHz_DE_data\B\0028\B028_3_(1730rpm).mat
train_data,BS,1800,12kHz_FE_data,B,data/src\12kHz_FE_data\B\0007\B007_3.mat
train_data,BS,1800,12kHz_DE_data,B,data/src\12kHz_DE_data\B\0014\B014_1.mat
train_data,BS,1797,12kHz_DE_data,B,data/src\12kHz_DE_data\B\0028\B028_0_(1797rpm).mat
train_data,BS,1800,48kHz_DE_data,B,data/src\48kHz_DE_data\B\0014\B014_3.mat
train_data,BS,1800,12kHz_FE_data,B,data/src\12kHz_FE_data\B\0014\B014_2.mat
train_data,BS,1800,48kHz_DE_data,B,data/src\48kHz_DE_data\B\0014\B014_2.mat
train_data,BS,1800,12kHz_DE_data,B,data/src\12kHz_DE_data\B\0007\B007_1.mat
train_data,BS,1800,12kHz_FE_data,B,data/src\12kHz_FE_data\B\0014\B014_3.mat
train_data,BS,1800,12kHz_DE_data,B,data/src\12kHz_DE_data\B\0014\B014_3.mat
train_data,BS,1772,12kHz_DE_data,B,data/src\12kHz_DE_data\B\0028\B028_1_(1772rpm).mat
train_data,BS,1800,48kHz_DE_data,B,data/src\48kHz_DE_data\B\0021\B021_0.mat
train_data,BS,1800,48kHz_DE_data,B,data/src\48kHz_DE_data\B\0007\B007_1.mat
train_data,BS,1800,12kHz_DE_data,B,data/src\12kHz_DE_data\B\0014\B014_0.mat
train_data,BS,1800,12kHz_FE_data,B,data/src\12kHz_FE_data\B\0021\B021_1.mat
train_data,BS,1800,12kHz_FE_data,B,data/src\12kHz_FE_data\B\0014\B014_0.mat
train_data,BS,1800,12kHz_DE_data,B,data/src\12kHz_DE_data\B\0021\B021_2.mat
train_data,BS,1800,48kHz_DE_data,B,data/src\48kHz_DE_data\B\0007\B007_2.mat
train_data,BS,1800,12kHz_DE_data,B,data/src\12kHz_DE_data\B\0007\B007_2.mat
train_data,BS,1800,12kHz_DE_data,B,data/src\12kHz_DE_data\B\0014\B014_2.mat
train_data,BS,1800,12kHz_DE_data,B,data/src\12kHz_DE_data\B\0021\B021_1.mat
